Time of beat occurence(seconds)	Signal value at beat(mV)
513.814	923.76
514.709	856.37
515.495	828.06
516.286	967.44
517.118	982.27
518.021	927.27
518.966	858.25
519.831	794.36
520.631	951.26
521.472	1027.3
522.355	968.52
523.247	917.02
524.137	841.54
524.955	800.83
525.769	971.21
526.615	1013.8
527.533	922.96
528.463	882.52
529.337	797.33
530.104	836.96
530.889	965.55
531.721	969.6
532.625	939.94
533.552	956.66
534.421	838.57
535.204	879.01
536.002	987.66
536.863	975.26
537.793	936.17
538.759	949.65
539.639	802.99
540.455	925.11
541.306	992.78
542.189	944.79
543.069	899.23
543.909	828.87
544.706	958.27
545.56	977.68
546.478	941.29
547.418	910.02
548.302	812.69
549.116	863.38
549.951	953.42
550.851	958.27
551.783	915.14
552.67	877.39
553.481	828.33
554.225	871.19
554.972	983.08
555.772	983.35
556.641	980.38
557.476	845.58
558.257	903.55
559.068	1008.7
